,Accepted_binomial,Family,Genus,Species,Clade,Lifeform,Pollination,Fruit_type,Seed_mass,Dormancy,Ecological_breadth,Conservation,Restoration,Reported_uses,AnimalFood,EnvironmentalUses,Fuels,GeneSources,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses,GermData_availability,NTestTemp,a,b,c,Topt,Logit.Max,Model.Max,Topt.upp,Topt.low,Tmax,Tmin,Tbreadth,Toptbreadth,SEmax,SEmin,SEopt.upp,SEopt.low,SEopt,SEbreadth,SEoptbreadth,Tmean_count,Model_concavity,Tail_drop,GermData_quality
11,Achillea ageratum,Asteraceae,Achillea,ageratum,Campanulids,perennial,Biotic,dry_indehiscent,0.0808,PD,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Achillea fraasii,Asteraceae,Achillea,fraasii,Campanulids,perennial,Biotic,dry_indehiscent,0.436985437,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Achillea grandifolia,Asteraceae,Achillea,grandifolia,Campanulids,perennial,Biotic,dry_indehiscent,0.1236,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Achillea maritima,Asteraceae,Achillea,maritima,Campanulids,perennial,Biotic,dry_indehiscent,8.9566,PD,3,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,1,-0.007766268,0.232945959,-2.264155669,14.99729097,-0.517376502,0.3734659,18.22005153,11.77453042,32.67533836,-2.680756417,35.35609478,6.445521107,12.46349768,19.41487267,14.87732305,16.46792791,5.590802386,30.6516529,29.32620835,6,1,1,1
15,Achillea millefolium,Asteraceae,Achillea,millefolium,Campanulids,perennial,Biotic,dry_indehiscent,0.165129491,PD,4,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,-0.024379916,0.909186125,-6.155166568,18.64621121,2.321271693,0.910623496,23.00420549,14.28821692,33.3426596,3.949762811,29.39289679,8.715988567,1.970801608,1.193084582,2.925796063,2.93135903,0.686244951,2.954875812,5.694081857,13,1,1,1
16,Achillea odorata,Asteraceae,Achillea,odorata,Campanulids,perennial,Biotic,dry_indehiscent,0.0834,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Achnatherum bromoides,Poaceae,Achnatherum,bromoides,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,3.998571429,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,1,-0.229669142,7.780121598,-63.93231683,16.93767286,1.956260383,0.87612767,18.17934369,15.69600203,21.55698922,12.3183565,9.238632715,2.483341659,NA,NA,NA,NA,NA,NA,NA,5,1,1,1
18,Achnatherum calamagrostis,Poaceae,Achnatherum,calamagrostis,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.41,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
19,Achnatherum parviflorum,Poaceae,Achnatherum,parviflorum,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.940215062,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,1,-0.001515547,-0.007666349,3.581919008,-2.529235147,3.591614008,0.973185032,24.24117645,-29.29964675,63.14168256,-68.20015286,131.3418354,53.5408232,NA,NA,NA,NA,NA,NA,NA,3,1,0,0
20,Adenocarpus complicatus,Fabaceae,Adenocarpus,complicatus,Fabids,woody,Biotic,dry_dehiscent,8.064185714,PY(PD),1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
21,Aegilops biuncialis,Poaceae,Aegilops,biuncialis,Commelinid-monocots,annual,Abiotic,dry_indehiscent,13.29666667,PD,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
22,Aegilops geniculata,Poaceae,Aegilops,geniculata,Commelinid-monocots,annual,Abiotic,dry_indehiscent,15.12792593,PD,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.333652469,-8.036191458,73.62103568,12.04275737,25.23208374,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0
23,Aegonychon purpurocaeruleum,Boraginaceae,Aegonychon,purpurocaeruleum,Lamiids,perennial,Biotic,fleshy,12.272,NoInfo,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Aeonium glandulosum,Crassulaceae,Aeonium,glandulosum,Rosids,perennial,Biotic,dry_dehiscent,1.165334091,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Aetheorhiza bulbosa,Asteraceae,Aetheorhiza,bulbosa,Campanulids,perennial,Biotic,dry_indehiscent,0.4,NoInfo,4,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Aethionema saxatile,Brassicaceae,Aethionema,saxatile,Malvids,annual,Biotic,dry_dehiscent,0.490028571,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,1,0.014167934,-0.59448818,9.851626574,20.98005881,3.615428083,0.973799529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.908322829,NA,NA,3,0,0,0
27,Agrimonia eupatoria,Rosaceae,Agrimonia,eupatoria,Fabids,perennial,Biotic,dry_indehiscent,15.8380596,NoInfo,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Agrimonia repens,Rosaceae,Agrimonia,repens,Fabids,perennial,Biotic,dry_indehiscent,40.96,NoInfo,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Agrostis canina,Poaceae,Agrostis,canina,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.059042901,PD,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Agrostis capillaris,Poaceae,Agrostis,capillaris,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.066693435,PD,2,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,-0.052040258,1.799062902,-12.44033754,17.28529969,3.108333169,0.957235174,21.21179815,13.35880124,28.06998417,6.500615222,21.56936894,7.852996916,NA,NA,NA,NA,NA,NA,NA,14,1,1,1
31,Agrostis castellana,Poaceae,Agrostis,castellana,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.151612121,PD,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,-0.001680159,0.067329697,1.387094385,20.03670731,2.061627105,0.887117211,35.12911783,4.944296795,74.62168445,-34.54826982,109.1699543,30.18482104,NA,NA,NA,NA,NA,NA,NA,5,1,1,1
32,Agrostis nebulosa,Poaceae,Agrostis,nebulosa,Commelinid-monocots,annual,Biotic,dry_indehiscent,0.084615208,PD,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Agrostis reuteri,Poaceae,Agrostis,reuteri,Commelinid-monocots,perennial,Biotic,dry_indehiscent,0.084615208,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Agrostis stolonifera,Poaceae,Agrostis,stolonifera,Commelinid-monocots,perennial,Biotic,dry_indehiscent,0.052087308,PD,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Agrostis tileni,Poaceae,Agrostis,tileni,Commelinid-monocots,perennial,Biotic,dry_indehiscent,0.084615208,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Agrostula truncatula,Poaceae,Agrostula,truncatula,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.0778,NoInfo,2,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Aichryson divaricatum,Crassulaceae,Aichryson,divaricatum,Rosids,perennial,Biotic,dry_dehiscent,0.0195125,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Aichryson villosum,Crassulaceae,Aichryson,villosum,Rosids,perennial,Biotic,dry_dehiscent,0.0195125,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Aira caryophyllea,Poaceae,Aira,caryophyllea,Commelinid-monocots,annual,Abiotic,dry_indehiscent,0.133181818,PD,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Aira cupaniana,Poaceae,Aira,cupaniana,Commelinid-monocots,annual,Abiotic,dry_indehiscent,0.043,PD,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
41,Aira elegans,Poaceae,Aira,elegans,Commelinid-monocots,annual,Abiotic,dry_indehiscent,0.0546,PD,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0.007007027,-0.162807005,3.744088531,11.61740924,2.79839073,0.9425888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0
42,Aira praecox,Poaceae,Aira,praecox,Commelinid-monocots,annual,Abiotic,dry_indehiscent,0.1666,PD,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Alchemilla australis,Rosaceae,Alchemilla,australis,Fabids,annual,Biotic,dry_indehiscent,0.29144,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Alchemilla glabra,Rosaceae,Alchemilla,glabra,Fabids,perennial,Biotic,dry_indehiscent,0.505264286,NoInfo,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Alkanna tinctoria,Boraginaceae,Alkanna,tinctoria,Lamiids,perennial,Biotic,fleshy,3.6304,NoInfo,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Allenrolfea occidentalis,Amaranthaceae,Allenrolfea,occidentalis,Caryophyllales,perennial,Abiotic,dry_indehiscent,0.129971429,PD,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Allium frigidum,Amaryllidaceae,Allium,frigidum,Monocots,perennial,Biotic,dry_dehiscent,3.553237926,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Allium orientale,Amaryllidaceae,Allium,orientale,Monocots,perennial,Biotic,dry_dehiscent,10.46,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Allium parciflorum,Amaryllidaceae,Allium,parciflorum,Monocots,perennial,Biotic,dry_dehiscent,0.5277,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Allium rubrovittatum,Amaryllidaceae,Allium,rubrovittatum,Monocots,perennial,Biotic,dry_dehiscent,3.553237926,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
51,Allium sphaerocephalon,Amaryllidaceae,Allium,sphaerocephalon,Monocots,perennial,Biotic,dry_dehiscent,1.46896875,PD,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,-0.023778866,0.66215143,-2.601714626,13.92310809,2.007888339,0.881622818,17.85619195,9.990024229,28.35452938,-0.508313204,28.86284258,7.866167717,2.137964645,2.945566226,2.263532355,2.408113467,0.908665079,4.81578836,4.306099102,8,1,1,1
52,Allium subhirsutum,Amaryllidaceae,Allium,subhirsutum,Monocots,perennial,Biotic,dry_dehiscent,1.455,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,1,-0.053161236,1.821663475,-11.96542937,17.13338137,3.640198147,0.97442415,21.71868625,12.54807649,28.26269514,6.0040676,22.25862754,9.170609762,3.734726932,1.811401783,2.242393549,1.010649543,1.328288865,5.234626836,2.245457061,4,1,0,0
53,Alnus glutinosa,Betulaceae,Alnus,glutinosa,Fabids,woody,Abiotic,dry_indehiscent,1.388400256,PD,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Alopecurus gerardii,Poaceae,Alopecurus,gerardii,Commelinid-monocots,perennial,Abiotic,dry_indehiscent,0.870543639,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Alopecurus pratensis,Poaceae,Alopecurus,pratensis,Commelinid-monocots,perennial,Biotic,dry_indehiscent,0.76067228,PD,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,-1.057417149,40.62988063,-372.2594996,19.21185063,18.02809925,0.999999985,22.98870466,15.43499659,23.66535951,14.75834175,8.907017761,7.553708067,NA,NA,NA,NA,NA,NA,NA,4,1,0,0
56,Alopecurus rendlei,Poaceae,Alopecurus,rendlei,Commelinid-monocots,annual,Abiotic,dry_indehiscent,2.6628,PD,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Alyssum strigosum,Brassicaceae,Alyssum,strigosum,Malvids,annual,Biotic,dry_dehiscent,0.625,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Amelanchier ovalis,Rosaceae,Amelanchier,ovalis,Fabids,perennial,Biotic,fleshy,45.71528571,PD,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Ampelodesmos mauritanicus,Poaceae,Ampelodesmos,mauritanicus,Commelinid-monocots,perennial,NoInfo,dry_indehiscent,2.893657143,NoInfo,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Amphoricarpos neumayerianus,Asteraceae,Amphoricarpos,neumayerianus,Campanulids,perennial,Biotic,dry_indehiscent,13.45116707,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Anacamptis palustris,Orchidaceae,Anacamptis,palustris,Monocots,perennial,Biotic,dry_dehiscent,624.5408,NoInfo,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Anacyclus clavatus,Asteraceae,Anacyclus,clavatus,Campanulids,annual,Biotic,dry_indehiscent,0.5,NoInfo,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,-0.006648711,0.108145592,1.743133016,8.132824465,2.182897572,0.89870316,16.06594355,0.199705379,35.90290885,-19.63725992,55.54016878,15.86623817,NA,NA,NA,NA,NA,NA,NA,3,1,0,0
63,Anagyris foetida,Fabaceae,Anagyris,foetida,Fabids,woody,Biotic,dry_dehiscent,364.3571429,NoInfo,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
64,Anastatica hierochuntica,Brassicaceae,Anastatica,hierochuntica,Malvids,annual,Biotic,dry_dehiscent,2.848,NoInfo,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Anchusa azurea,Boraginaceae,Anchusa,azurea,Lamiids,perennial,Biotic,fleshy,17.16,NoInfo,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Anchusa cespitosa,Boraginaceae,Anchusa,cespitosa,Lamiids,perennial,Biotic,fleshy,7.355485079,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Anchusa crispa,Boraginaceae,Anchusa,crispa,Lamiids,perennial,Biotic,fleshy,7.355485079,NoInfo,1,1,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
68,Andryala glandulosa,Asteraceae,Andryala,glandulosa,Campanulids,perennial,Biotic,dry_indehiscent,0.1524,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Anemonoides blanda,Ranunculaceae,Anemonoides,blanda,Early EU,perennial,NoInfo,dry_indehiscent,2.164092611,NoInfo,1,0,0,0,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
